step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
148,610400,1184,0.012998142546303692,0.75,0.75,,,,,
149,613288,1192,0.012278005592677454,0.875,0.875,,,,,
150,619504,1200,0.008796739373908893,0.625,0.625,,,,,
151,625592,1208,0.00819669666979007,0.625,0.625,,,,,
152,630272,1216,0.011225365366522386,0.625,0.625,,,,,
153,635144,1224,0.009103500736408823,0.75,0.75,0.012371598397075785,0.75,0.75,,
154,638224,1232,0.013300645608310102,0.5,0.5,,,,,
155,641112,1240,0.012486365299349756,0.875,0.875,,,,,
156,644896,1248,0.012642261608718423,0.875,0.875,,,,,
157,648424,1256,0.01216741322786835,0.75,0.75,,,,,
158,651376,1264,0.011107498061367946,0.625,0.625,,,,,
159,655352,1272,0.008478068053508226,0.75,0.75,,,,,
160,659392,1280,0.010130492208704883,0.5,0.5,,,,,
161,662664,1288,0.009347041500973942,0.75,0.75,0.009019435113009155,0.75,0.75,,
162,665808,1296,0.012792124183035923,0.625,0.625,,,,,
163,669720,1304,0.008531092093207895,1.0,1.0,,,,,
164,673312,1312,0.009671333062134743,0.75,0.75,,,,,
165,678312,1320,0.007651330591526812,0.875,0.875,,,,,
166,682160,1328,0.01014480245138519,0.875,0.875,,,,,
167,685624,1336,0.00957823000567306,0.875,0.875,,,,,
168,689216,1344,0.009077250386417147,0.875,0.875,,,,,
169,692808,1352,0.009715982294051488,0.875,0.875,0.015548778802737855,0.625,0.625,,
170,696272,1360,0.009447986651911227,0.875,0.875,,,,,
171,701080,1368,0.00971833240356627,0.75,0.75,,,,,
172,707744,1376,0.009546735870177256,0.75,0.75,,,,,
173,712360,1384,0.010066287112304706,0.875,0.875,,,,,
174,715760,1392,0.013896100765189044,0.75,0.75,,,,,
175,720568,1400,0.009807305296752335,0.75,0.75,,,,,
176,724416,1408,0.009484589326715219,0.75,0.75,,,,,
177,730248,1416,0.00721736273467215,0.75,0.75,0.013144104019377496,0.75,0.75,,
178,735248,1424,0.006741473224524312,0.875,0.875,,,,,
179,738456,1432,0.009679783158275928,0.75,0.75,,,,,
180,742560,1440,0.011194956289316799,0.5,0.5,,,,,
181,745768,1448,0.011828068079825156,0.625,0.625,,,,,
182,749872,1456,0.008807080084797674,1.0,1.0,,,,,
183,752440,1464,0.008460296547540738,0.75,0.75,,,,,
184,755456,1472,0.012471553590241437,0.625,0.625,,,,,
185,760264,1480,0.010394214536820325,0.375,0.375,0.011116431932734944,0.875,0.875,,
186,763344,1488,0.010179170205192092,0.5,0.5,,,,,
187,766808,1496,0.007397986289733393,0.625,0.625,,,,,
188,770464,1504,0.008184341073174312,0.75,0.75,,,,,
189,773800,1512,0.01240974144167324,0.625,0.625,,,,,
190,778480,1520,0.01242712562668364,0.5,0.5,,,,,
191,782584,1528,0.00951989547957646,0.75,0.75,,,,,
192,787776,1536,0.008376003092325024,0.625,0.625,,,,,
193,792136,1544,0.009733610088003832,0.625,0.625,0.008193206962859998,0.75,0.75,,
194,796112,1552,0.010084413676245556,0.375,0.375,,,,,
195,800024,1560,0.00873047207331088,0.875,0.875,,,,,
196,805728,1568,0.008946067820473393,0.75,0.75,,,,,
197,812968,1576,0.006603189904313305,0.375,0.375,,,,,
198,816176,1584,0.008147136802793031,1.0,1.0,,,,,
199,821880,1592,0.00786372812863725,0.625,0.625,,,,,
200,825856,1600,0.012092859477548628,0.5,0.5,,,,,
201,828872,1608,0.00962702095649764,0.75,0.75,0.011552579079825848,0.5,0.5,,
202,833936,1616,0.007914917483669645,0.625,0.625,,,,,
203,838040,1624,0.010817322970591098,0.5,0.5,,,,,
204,841632,1632,0.01382710024796581,0.375,0.375,,,,,
205,845608,1640,0.009904495158009397,0.875,0.875,,,,,
206,849584,1648,0.008420870142319656,0.75,0.75,,,,,
207,855288,1656,0.006265025746488481,0.625,0.625,,,,,
208,859648,1664,0.009959551783565643,0.875,0.875,,,,,
209,863944,1672,0.008033231961672105,0.875,0.875,0.00812965406385617,0.875,0.875,,
210,867792,1680,0.00975749697875831,0.75,0.75,,,,,
211,871320,1688,0.010497541130657668,0.875,0.875,,,,,
212,877408,1696,0.005427254945358693,0.875,0.875,,,,,
213,881960,1704,0.009137407442733713,0.75,0.75,,,,,
214,884848,1712,0.010623103574086764,0.625,0.625,,,,,
215,889720,1720,0.011786884692490644,0.375,0.375,,,,,
216,893824,1728,0.0067036821044130996,0.875,0.875,,,,,
217,898568,1736,0.007309054554561713,0.875,0.875,0.01188549061371282,0.75,0.75,,
218,902288,1744,0.009818109530001977,0.875,0.875,,,,,
219,905496,1752,0.011502918191015225,0.625,0.625,,,,,
220,909792,1760,0.006073384658185381,1.0,1.0,,,,,
221,913448,1768,0.012566603674183682,0.75,0.75,,,,,
222,917552,1776,0.00796257007213878,0.875,0.875,,,,,
223,923000,1784,0.008568034773257764,0.625,0.625,,,,,
224,926144,1792,0.008511014866335211,0.875,0.875,,,,,
225,929864,1800,0.009323164739089717,0.875,0.875,0.010028735288423915,0.625,0.625,,
226,934672,1808,0.0066600063952452345,1.0,1.0,,,,,
227,938200,1816,0.007840325552017843,0.75,0.75,,,,,
228,941792,1824,0.008332148121061155,0.75,0.75,,,,,
229,946792,1832,0.006919245843328559,0.75,0.75,,,,,
230,950704,1840,0.010033794487985971,1.0,1.0,,,,,
231,954360,1848,0.01124456124132995,0.5,0.5,,,,,
232,958848,1856,0.009989744112425312,0.5,0.5,,,,,
233,962312,1864,0.010718928920673033,0.625,0.625,0.008817107503843746,0.75,0.75,,
234,966416,1872,0.011271993574788605,0.5,0.5,,,,,
235,970456,1880,0.011695104571735587,0.625,0.625,,,,,
236,973856,1888,0.008753576201268515,1.0,1.0,,,,,
237,978280,1896,0.009757744620484414,0.75,0.75,,,,,
238,981552,1904,0.013086571283737523,0.875,0.875,,,,,
239,986552,1912,0.006263775130451421,0.875,0.875,,,,,
240,989568,1920,0.010359239839917829,0.875,0.875,,,,,
241,993736,1928,0.0073195520684669465,0.75,0.75,0.006198439749346914,0.75,0.75,,
242,997584,1936,0.008726964305515634,0.75,0.75,,,,,
243,1001368,1944,0.008294789437260586,0.875,0.875,,,,,
244,1005472,1952,0.009823028224526579,0.75,0.75,,,,,
245,1008296,1960,0.010462427069358056,0.75,0.75,,,,,
246,1012272,1968,0.008504366985315188,0.875,0.875,,,,,
247,1017016,1976,0.008477503851946613,0.625,0.625,,,,,
248,1019520,1984,0.009096027601119976,1.0,1.0,,,,,
249,1024392,1992,0.010796576702198463,0.375,0.375,0.005269300865865557,1.0,1.0,,
250,1028240,2000,0.008687327563468268,0.875,0.875,,,,,
251,1031640,2008,0.010371851758414714,0.875,0.875,,,,,
252,1039456,2016,0.006553685784353484,0.75,0.75,,,,,
253,1043624,2024,0.00795958994467424,0.75,0.75,,,,,
254,1049648,2032,0.006903561407810134,0.875,0.875,,,,,
255,1053304,2040,0.010582187549461308,0.75,0.75,,,,,
256,1058368,2048,0.007838745983720308,0.625,0.625,,,,,
257,1062088,2056,0.006771924238932786,0.875,0.875,0.006866820979375245,1.0,1.0,,
258,1065808,2064,0.008617193222964762,0.75,0.75,,,,,
259,1069464,2072,0.008984628800548563,0.5,0.5,,,,,
260,1073568,2080,0.005503670632803686,0.875,0.875,,,,,
261,1077288,2088,0.0108227817011804,0.75,0.75,,,,,
262,1079920,2096,0.010288799364690637,0.75,0.75,,,,,
263,1083960,2104,0.005945981430775229,1.0,1.0,,,,,
264,1087488,2112,0.010801575560555979,0.75,0.75,,,,,
265,1090888,2120,0.008537322349265521,0.625,0.625,0.011775609289860938,0.875,0.875,,
266,1093968,2128,0.008922779778625585,0.75,0.75,,,,,
267,1097112,2136,0.009234122673849895,0.625,0.625,,,,,
268,1101536,2144,0.008938767742957909,0.75,0.75,,,,,
269,1106984,2152,0.006565965137188839,0.75,0.75,,,,,
270,1112240,2160,0.005951399919232479,0.75,0.75,,,,,
271,1116664,2168,0.010662864403919302,0.875,0.875,,,,,
272,1119872,2176,0.006918739989191089,0.875,0.875,,,,,
273,1123656,2184,0.009807232661341071,1.0,1.0,0.009190938254421062,0.875,0.875,,
274,1126480,2192,0.007075990051183486,0.75,0.75,,,,,
275,1131480,2200,0.00815613577570415,0.375,0.375,,,,,
276,1135584,2208,0.0111456382697051,0.5,0.5,,,,,
277,1139048,2216,0.009753110465833064,0.75,0.75,,,,,
278,1142832,2224,0.011781341440779611,0.625,0.625,,,,,
279,1146168,2232,0.00927371338027111,0.625,0.625,,,,,
280,1149888,2240,0.012038026071397664,0.75,0.75,,,,,
281,1153864,2248,0.00874191881040919,0.875,0.875,0.00872496637945192,0.875,0.875,,
282,1157392,2256,0.008040131899707096,0.75,0.75,,,,,
283,1162712,2264,0.00696360038746097,0.875,0.875,,,,,
284,1165728,2272,0.008984279459253232,0.75,0.75,,,,,
285,1169704,2280,0.007450085025719499,0.875,0.875,,,,,
286,1174640,2288,0.010232055212248719,0.875,0.875,,,,,
287,1177080,2296,0.007625839848144755,0.875,0.875,,,,,
288,1182016,2304,0.007850916144081834,0.75,0.75,,,,,
289,1186440,2312,0.00827555466787619,1.0,1.0,0.009907773604730191,0.75,0.75,,
290,1189712,2320,0.009449615827780982,0.875,0.875,,,,,
291,1195288,2328,0.010795781919142121,0.625,0.625,,,,,
292,1199264,2336,0.008601393410955184,0.875,0.875,,,,,
293,1202984,2344,0.009668118080139848,0.75,0.75,,,,,
294,1209712,2352,0.005243799704430123,0.875,0.875,,,,,
295,1212856,2360,0.010902275275568632,0.5,0.5,,,,,
296,1217984,2368,0.006172376140104239,0.875,0.875,,,,,
297,1221768,2376,0.007199185940366283,0.875,0.875,0.008552391467464752,0.5,0.5,,
298,1225552,2384,0.009820722160377174,0.875,0.875,,,,,
299,1229784,2392,0.007093740181552738,0.875,0.875,,,,,
300,1234016,2400,0.009608842658102329,1.0,1.0,,,,,
301,1237480,2408,0.006847359448640006,0.875,0.875,,,,,
302,1241584,2416,0.009824085867089834,0.625,0.625,,,,,
303,1244856,2424,0.006944506551583081,0.875,0.875,,,,,
304,1248704,2432,0.011630945253490952,0.625,0.625,,,,,
305,1253128,2440,0.005411248513115713,1.0,1.0,0.006674034632694172,0.875,0.875,,
306,1257680,2448,0.008477040958380916,0.875,0.875,,,,,
307,1261464,2456,0.009487571405488678,0.75,0.75,,,,,
308,1267040,2464,0.009750967345556158,0.625,0.625,,,,,
309,1271272,2472,0.010998354102711808,0.75,0.75,,,,,
310,1274800,2480,0.01087224503197555,0.625,0.625,,,,,
311,1278520,2488,0.008992471748342234,0.625,0.625,,,,,
312,1284032,2496,0.006431456492833688,0.875,0.875,,,,,
313,1288136,2504,0.009032685767447535,0.625,0.625,0.00937167996890759,0.75,0.75,,
314,1293008,2512,0.007478881495554306,0.625,0.625,,,,,
315,1295256,2520,0.009989789616406028,0.625,0.625,,,,,
316,1299040,2528,0.006586374312891444,0.75,0.75,,,,,
317,1303400,2536,0.009239592369599585,0.75,0.75,,,,,
318,1309360,2544,0.005896133015576687,0.75,0.75,,,,,
319,1312632,2552,0.009117213072207043,0.75,0.75,,,,,
320,1316480,2560,0.006700054893737735,0.75,0.75,,,,,
321,1320968,2568,0.007682709320550545,0.875,0.875,0.008009787533337446,0.75,0.75,,
322,1324624,2576,0.00731333323621992,0.75,0.75,,,,,
323,1327064,2584,0.011258853815512308,0.875,0.875,,,,,
324,1330016,2592,0.008855969056829022,0.75,0.75,,,,,
325,1334312,2600,0.007840582337599485,0.875,0.875,,,,,
326,1338160,2608,0.00782381564616791,0.875,0.875,,,,,
327,1342328,2616,0.010233482690994044,0.5,0.5,,,,,
328,1345024,2624,0.012097131146723625,0.875,0.875,,,,,
329,1349832,2632,0.008111840380449192,0.875,0.875,0.011177974226529908,0.375,0.375,,
330,1353424,2640,0.006124811112047698,1.0,1.0,,,,,
331,1357080,2648,0.007031782349037455,1.0,1.0,,,,,
332,1361376,2656,0.00971331573333866,0.5,0.5,,,,,
333,1365288,2664,0.008233743975882012,0.875,0.875,,,,,
334,1369328,2672,0.013153829022625812,0.5,0.5,,,,,
335,1373176,2680,0.006495204086765916,1.0,1.0,,,,,
336,1378176,2688,0.008952833268987067,0.75,0.75,,,,,
337,1382216,2696,0.008148510126084727,0.875,0.875,0.011512564421666767,0.5,0.5,,
338,1385296,2704,0.01703746820541548,0.625,0.625,,,,,
339,1390232,2712,0.010302968325887236,0.75,0.75,,,,,
340,1394016,2720,0.007687059793041681,0.875,0.875,,,,,
341,1398184,2728,0.0085114320647743,0.875,0.875,,,,,
342,1402800,2736,0.0048079139749909,1.0,1.0,,,,,
343,1406200,2744,0.013652387252129784,0.5,0.5,,,,,
344,1410176,2752,0.006328628838754232,0.875,0.875,,,,,
345,1413576,2760,0.011847020165526106,0.875,0.875,0.009334841564959747,0.625,0.625,,
346,1419216,2768,0.006903461975892358,0.625,0.625,,,,,
347,1423576,2776,0.008235179993116837,0.625,0.625,,,,,
348,1427232,2784,0.009623367906966777,0.75,0.75,,,,,
349,1431336,2792,0.00809401206744504,0.5,0.5,,,,,
350,1435056,2800,0.00949894160612939,0.625,0.625,,,,,
351,1439160,2808,0.009412978439145948,0.625,0.625,,,,,
352,1444352,2816,0.008076731655068281,0.5,0.5,,,,,
353,1447880,2824,0.008694969907856237,0.625,0.625,0.009568746695004274,0.75,0.75,,
354,1451984,2832,0.011508136116955841,0.875,0.875,,,,,
355,1456088,2840,0.006443224522637547,0.75,0.75,,,,,
356,1459744,2848,0.008815829117182929,0.875,0.875,,,,,
357,1463784,2856,0.008826982911185048,0.625,0.625,,,,,
358,1467760,2864,0.008811829441869735,0.625,0.625,,,,,
359,1471800,2872,0.008266682197659794,0.875,0.875,,,,,
360,1475968,2880,0.007641843988104874,0.875,0.875,,,,,
361,1480584,2888,0.0057865411875179535,0.875,0.875,0.010309685454265248,0.375,0.375,,
362,1485520,2896,0.006101402051812291,0.875,0.875,,,,,
363,1490712,2904,0.008447444750673333,0.625,0.625,,,,,
364,1494304,2912,0.010684851270064525,0.875,0.875,,,,,
365,1497448,2920,0.00990012556663896,0.75,0.75,,,,,
366,1500528,2928,0.010673110213342454,0.625,0.625,,,,,
367,1505528,2936,0.00549771833199454,0.625,0.625,,,,,
368,1510144,2944,0.011210653653967416,0.625,0.625,,,,,
369,1513480,2952,0.01070394847582855,0.625,0.625,0.006115244814753264,0.75,0.75,,
370,1517584,2960,0.006576235756453534,0.75,0.75,,,,,
371,1521880,2968,0.006072696803236463,0.75,0.75,,,,,
372,1525920,2976,0.006529334098841101,1.0,1.0,,,,,
373,1529448,2984,0.006208434114866188,1.0,1.0,,,,,
374,1532720,2992,0.012582085130667648,0.75,0.75,,,,,
375,1537976,3000,0.006419056955135736,0.75,0.75,,,,,
376,1541120,3008,0.009597163989022578,0.875,0.875,,,,,
377,1544904,3016,0.006392905545180156,0.75,0.75,0.011967558382239214,0.75,0.75,,
378,1550096,3024,0.008613836953469988,0.75,0.75,,,,,
379,1552536,3032,0.010583825838514839,0.75,0.75,,,,,
380,1558176,3040,0.005590928521818182,0.875,0.875,,,,,
381,1562280,3048,0.011472388494412728,0.625,0.625,,,,,
382,1566448,3056,0.009662666598308462,0.375,0.375,,,,,
383,1570680,3064,0.0081511761946529,0.75,0.75,,,,,
384,1574144,3072,0.008706517348836509,1.0,1.0,,,,,
385,1577416,3080,0.01255284465834458,0.625,0.625,0.008129966838936386,0.5,0.5,,
386,1581008,3088,0.006334831682116661,0.875,0.875,,,,,
387,1584792,3096,0.007888163390699837,0.875,0.875,,,,,
388,1588832,3104,0.01044607441918121,0.75,0.75,,,,,
389,1592296,3112,0.005894739883929253,0.75,0.75,,,,,
390,1595184,3120,0.0073434865572245215,0.875,0.875,,,,,
391,1598648,3128,0.009798094648552157,0.75,0.75,,,,,
392,1603072,3136,0.005106482696923679,0.875,0.875,,,,,
393,1608072,3144,0.006290838322934389,0.875,0.875,0.0056687442625705095,0.875,0.875,,
394,1611856,3152,0.009081365260313244,0.875,0.875,,,,,
395,1618520,3160,0.005431299641144977,0.875,0.875,,,,,
396,1621600,3168,0.012918039665514157,0.625,0.625,,,,,
397,1625192,3176,0.012502782831389284,0.75,0.75,,,,,
398,1630192,3184,0.005246965816241148,0.875,0.875,,,,,
399,1634104,3192,0.007617005320308989,0.875,0.875,,,,,
400,1640832,3200,0.007967345626249915,0.625,0.625,,,,,
401,1644680,3208,0.010551892411634003,0.75,0.75,0.00966024301154321,0.75,0.75,,
402,1648144,3216,0.011228021340003093,0.5,0.5,,,,,
403,1652248,3224,0.009975027594229172,0.75,0.75,,,,,
404,1656032,3232,0.007322716314049093,0.75,0.75,,,,,
405,1661544,3240,0.007442108130310646,0.75,0.75,,,,,
406,1666224,3248,0.007433838530485642,0.875,0.875,,,,,
407,1669880,3256,0.007950187617305178,1.0,1.0,,,,,
408,1673472,3264,0.009411737764329046,0.875,0.875,,,,,
